#Grid-Scan using Optidos
#Timet: 13-11-18-13:12:31
#Unit: Gy
#Duration: 5 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
24.4;24.1;0;0.002626;0;0
24.4;24.1;0.3;0.002362;0;0
24.4;24.1;0.6;0.002082;0;0
24.4;24.1;0.9;0.001759;0;0
24.4;24.1;1.2;0.001479;0;0
24.4;24.1;1.5;0.0012;0;0
24.4;24.1;1.8;0.000975;1;0
24.4;24.1;2.1;0.000786;1;0
24.4;24.1;2.4;0.000593;1;0
24.4;24.1;2.7;0.000448;2;0
24.4;24.1;3;0.000337;2;0
24.4;24.1;3.3;0.00025;2;0
24.4;24.1;3.6;0.000171;2;0
24.4;24.1;3.9;0.000122;2;0
24.4;24.1;4.2;0.000082;2;0
24.4;24.1;4.5;0.000056;2;0
24.4;24.1;4.8;0.000037;2;0
24.4;24.1;5.1;0.000024;2;0
24.4;24.1;5.4;0.000016;2;0
24.4;24.1;5.7;0.000011;2;0
24.4;24.1;6;0.00001;2;0
25.4;24.1;6;0.00001;2;0
25.4;24.1;5.7;0.000013;2;0
25.4;24.1;5.4;0.000022;2;0
25.4;24.1;5.1;0.000035;2;0
25.4;24.1;4.8;0.000055;2;0
25.4;24.1;4.5;0.000086;2;0
25.4;24.1;4.2;0.000126;2;0
25.4;24.1;3.9;0.00018;2;0
25.4;24.1;3.6;0.000262;2;0
25.4;24.1;3.3;0.00037;2;0
25.4;24.1;3;0.00051;1;0
25.4;24.1;2.7;0.000697;1;0
25.4;24.1;2.4;0.000916;1;0
25.4;24.1;2.1;0.001218;0;0
25.4;24.1;1.8;0.00155;0;0
25.4;24.1;1.5;0.001944;0;0
25.4;24.1;1.2;0.002431;0;0
25.4;24.1;0.9;0.002977;0;0
25.4;24.1;0.6;0.00358;0;0
25.4;24.1;0.3;0.004206;0;0
25.4;24.1;0;0.004861;0;0
26.4;24.1;0;0.0067;0;0
26.4;24.1;0.3;0.005683;0;0
26.4;24.1;0.6;0.00474;0;0
26.4;24.1;0.9;0.003904;0;0
26.4;24.1;1.2;0.003153;0;0
26.4;24.1;1.5;0.00251;0;0
26.4;24.1;1.8;0.001946;0;0
26.4;24.1;2.1;0.001517;0;0
26.4;24.1;2.4;0.001167;0;0
26.4;24.1;2.7;0.000858;1;0
26.4;24.1;3;0.000636;1;0
26.4;24.1;3.3;0.000455;2;0
26.4;24.1;3.6;0.000326;2;0
26.4;24.1;3.9;0.000228;2;0
26.4;24.1;4.2;0.000156;2;0
26.4;24.1;4.5;0.000107;2;0
26.4;24.1;4.8;0.000067;2;0
26.4;24.1;5.1;0.000046;2;0
26.4;24.1;5.4;0.00003;2;0
26.4;24.1;5.7;0.00002;2;0
26.4;24.1;6;0.000013;2;0
27.4;24.1;6;0.00001;2;0
27.4;24.1;5.7;0.00002;2;0
27.4;24.1;5.4;0.000028;2;0
27.4;24.1;5.1;0.000042;2;0
27.4;24.1;4.8;0.000063;2;0
27.4;24.1;4.5;0.000102;2;0
27.4;24.1;4.2;0.000157;2;0
27.4;24.1;3.9;0.000219;2;0
27.4;24.1;3.6;0.000316;2;0
27.4;24.1;3.3;0.000454;2;0
27.4;24.1;3;0.000612;1;0
27.4;24.1;2.7;0.000843;1;0
27.4;24.1;2.4;0.001108;0;0
27.4;24.1;2.1;0.00147;0;0
27.4;24.1;1.8;0.001915;0;0
27.4;24.1;1.5;0.002429;0;0
27.4;24.1;1.2;0.003024;0;0
27.4;24.1;0.9;0.003735;0;0
27.4;24.1;0.6;0.004585;0;0
27.4;24.1;0.3;0.0055;0;0
27.4;24.1;0;0.006433;0;0
28.4;24.1;0;0.004366;0;0
28.4;24.1;0.3;0.003855;0;0
28.4;24.1;0.6;0.003321;0;0
28.4;24.1;0.9;0.002796;0;0
28.4;24.1;1.2;0.002309;0;0
28.4;24.1;1.5;0.001868;0;0
28.4;24.1;1.8;0.001498;0;0
28.4;24.1;2.1;0.001153;0;0
28.4;24.1;2.4;0.000894;1;0
28.4;24.1;2.7;0.000665;1;0
28.4;24.1;3;0.000506;1;0
28.4;24.1;3.3;0.000366;2;0
28.4;24.1;3.6;0.00026;2;0
28.4;24.1;3.9;0.000176;2;0
28.4;24.1;4.2;0.000123;2;0
