#Grid-Scan using Optidos
#Timet: 13-11-18-14:01:59
#Unit: Gy
#Duration: 10 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
17.9;26.6;1;0.00002;2;0
18.4;26.6;1;0.00002;2;0
18.9;26.6;1;0.00002;2;0
19.4;26.6;1;0.000032;2;0
19.9;26.6;1;0.000061;2;0
20.4;26.6;1;0.000112;2;0
20.9;26.6;1;0.000219;2;0
21.4;26.6;1;0.000418;2;0
21.9;26.6;1;0.000763;2;0
22.4;26.6;1;0.001327;1;0
22.9;26.6;1;0.002234;0;0
23.4;26.6;1;0.003625;0;0
23.9;26.6;1;0.005611;0;0
24.4;26.6;1;0.008133;0;0
24.9;26.6;1;0.01118;0;0
25.4;26.6;1;0.01438;0;0
25.9;26.6;1;0.01725;0;0
26.4;26.6;1;0.01917;0;0
26.9;26.6;1;0.01976;0;0
27.4;26.6;1;0.01892;0;0
27.9;26.6;1;0.01668;0;0
28.4;26.6;1;0.01376;0;0
28.9;26.6;1;0.01048;0;0
29.4;26.6;1;0.007425;0;0
29.9;26.6;1;0.004972;0;0
30.4;26.6;1;0.003189;0;0
30.9;26.6;1;0.001949;0;0
31.4;26.6;1;0.001136;1;0
31.9;26.6;1;0.000639;2;0
32.4;26.6;1;0.000348;2;0
32.9;26.6;1;0.000179;2;0
33.4;26.6;1;0.000091;2;0
33.9;26.6;1;0.000046;2;0
34.4;26.6;1;0.000021;2;0
34.9;26.6;1;0.00002;2;0
35.4;26.6;1;0.00002;2;0
35.9;26.6;1;0.000017;2;0
