#Grid-Scan using Optidos
#Timet: 13-11-18-13:44:10
#Unit: Gy
#Duration: 10 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
26.9;19.6;0;0.00006;2;0
26.9;20.1;0;0.000117;2;0
26.9;20.6;0;0.000234;2;0
26.9;21.1;0;0.000448;2;0
26.9;21.6;0;0.000857;2;0
26.9;22.1;0;0.00157;1;0
26.9;22.6;0;0.002799;0;0
26.9;23.1;0;0.004885;0;0
26.9;23.6;0;0.008391;0;0
26.9;24.1;0;0.01372;0;0
26.9;24.6;0;0.02152;0;0
26.9;25.1;0;0.03097;0;0
26.9;25.6;0;0.04042;0;0
26.9;26.1;0;0.0474;0;0
26.9;26.6;0;0.05022;0;0
26.9;27.1;0;0.0483;0;0
26.9;27.6;0;0.04218;0;0
26.9;28.1;0;0.03316;0;0
26.9;28.6;0;0.02355;0;0
26.9;29.1;0;0.01522;0;0
26.9;29.6;0;0.009221;0;0
26.9;30.1;0;0.005432;0;0
26.9;30.6;0;0.003117;0;0
26.9;31.1;0;0.001757;1;0
26.9;31.6;0;0.000948;2;0
26.9;32.1;0;0.000507;2;0
26.9;32.6;0;0.000262;2;0
26.9;33.1;0;0.000135;2;0
26.9;33.6;0;0.000068;2;0
