#Grid-Scan using Optidos
#Timet: 13-11-18-11:53:30
#Unit: Gy
#Duration: 60 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
26.9;26.6;0;0.3017;0;0
26.9;26.6;0.3;0.228;0;0
26.9;26.6;0.6;0.1721;0;0
26.9;26.6;0.9;0.1298;0;0
26.9;26.6;1.2;0.09795;0;0
26.9;26.6;1.5;0.07361;0;0
26.9;26.6;1.8;0.05548;0;0
26.9;26.6;2.1;0.04128;0;0
26.9;26.6;2.4;0.03049;0;0
26.9;26.6;2.7;0.02233;0;0
26.9;26.6;3;0.01625;0;0
26.9;26.6;3.3;0.01155;0;0
26.9;26.6;3.6;0.008143;1;0
26.9;26.6;3.9;0.005655;1;0
26.9;26.6;4.2;0.003845;2;0
26.9;26.6;4.5;0.002576;2;0
26.9;26.6;4.8;0.001658;2;0
26.9;26.6;5.1;0.001067;2;0
26.9;26.6;5.4;0.000661;2;0
26.9;26.6;5.7;0.0004;2;0
26.9;26.6;6;0.000245;2;0
