#Grid-Scan using Optidos
#Timet: 13-11-18-13:35:51
#Unit: Gy
#Duration: 5 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
26.9;11.6;0;0.000006;2;0
26.9;12.6;0;0.000003;2;0
26.9;13.6;0;0.000006;2;0
26.9;14.6;0;0.000008;2;0
26.9;15.6;0;0.00001;2;0
26.9;16.6;0;0.000006;2;0
26.9;17.6;0;0.000008;2;0
26.9;18.6;0;0.00001;2;0
26.9;19.6;0;0.00003;2;0
26.9;20.6;0;0.000113;2;0
26.9;21.6;0;0.000433;2;0
26.9;22.6;0;0.001391;0;0
26.9;23.6;0;0.004175;0;0
26.9;24.6;0;0.01071;0;0
26.9;25.6;0;0.02006;0;0
26.9;26.6;0;0.02505;0;0
26.9;27.6;0;0.02112;0;0
26.9;28.6;0;0.01177;0;0
26.9;29.6;0;0.004647;0;0
26.9;30.6;0;0.001573;0;0
26.9;31.6;0;0.00047;2;0
26.9;32.6;0;0.000135;2;0
26.9;33.6;0;0.000034;2;0
26.9;34.6;0;0.00001;2;0
26.9;35.6;0;0.00001;2;0
26.9;36.6;0;0.000008;2;0
26.9;37.6;0;0.000007;2;0
26.9;38.6;0;0.00001;2;0
26.9;39.6;0;0.000007;2;0
26.9;40.6;0;0.000005;2;0
26.9;41.6;0;0.000007;2;0
