#Grid-Scan using Optidos
#Timet: 13-11-18-14:11:05
#Unit: Gy
#Duration: 10 s
#
#Aufloesung:
#  0 besser als 0.5%
#  1 zwischen 0.5% und 1%
#  2 schlechter als 1%
#Meﬂbereich:
#  0 Low
#  1 High
#
x[mm];y[mm];z[mm];Value;Resolution;Range
26.9;17.6;1;0.00002;2;0
26.9;18.1;1;0.00002;2;0
26.9;18.6;1;0.00002;2;0
26.9;19.1;1;0.000022;2;0
26.9;19.6;1;0.000048;2;0
26.9;20.1;1;0.000093;2;0
26.9;20.6;1;0.000185;2;0
26.9;21.1;1;0.000355;2;0
26.9;21.6;1;0.000647;2;0
26.9;22.1;1;0.001152;1;0
26.9;22.6;1;0.001934;1;0
26.9;23.1;1;0.003175;0;0
26.9;23.6;1;0.005011;0;0
26.9;24.1;1;0.007404;0;0
26.9;24.6;1;0.01035;0;0
26.9;25.1;1;0.01357;0;0
26.9;25.6;1;0.01648;0;0
26.9;26.1;1;0.01861;0;0
26.9;26.6;1;0.0195;0;0
26.9;27.1;1;0.01893;0;0
26.9;27.6;1;0.01694;0;0
26.9;28.1;1;0.01407;0;0
26.9;28.6;1;0.01095;0;0
26.9;29.1;1;0.007874;0;0
26.9;29.6;1;0.005337;0;0
26.9;30.1;1;0.00345;0;0
26.9;30.6;1;0.002125;0;0
26.9;31.1;1;0.001266;1;0
26.9;31.6;1;0.000715;2;0
26.9;32.1;1;0.00039;2;0
26.9;32.6;1;0.000208;2;0
26.9;33.1;1;0.000103;2;0
26.9;33.6;1;0.000052;2;0
26.9;34.1;1;0.00003;2;0
26.9;34.6;1;0.00002;2;0
26.9;35.1;1;0.00002;2;0
26.9;35.6;1;0.00002;2;0
